COUNTRY,MA_ID,NAME,LON,LAT,DESIG,LEGAL,DESIG_TYPE,DOMAIN,STATUS,DATE_ESTAB,AREA_R_HA,MARIE_R_H,MGT_PLAN,IUCN_CAT,INTL_CONV,STATE_PROV,ZONES,NO_TAKE,NO_TK_R_HA,MGT_MODEL,MGT_EFF,SOURCE,NOTES,CONSENT,CTMPAS_CAT,VALIDATED,VALIDATED_BY,VALIDATED_ON,HAS_POLY
"Indonesia","1015935","Pulo Kauna Kayuadi Marine Protected Area","120.44860840","-6.70388924","Province Marine Protected Area","KEPGUB SULSEL 3173/XII/2018 ","Provincial","Marine","Designated","2018-12-12",3983.00,3983.00,"Unknown","","","South Sulawesi","","",,"EKKP3K","","","","Yes","Category 1","False","","","False"
"Indonesia","1015934","Liukang Tangaya Marine Protected Area","118.83499146","-6.98259009","Province Marine Protected Area","KEPGUB SULSEL 3172/XII/2018 ","Provincial","Marine","Designated","2018-12-12",500797.77,500797.77,"Unknown","Unknown","","South Sulawesi","","",,"EKKP3K","","","","Yes","Category 1","False","","","False"
"Indonesia","1015933","Buton Selatan Marine Protected Area","122.32040405","-5.42625734","Province Marine Protected Area","KEPBUP Buton Selatan No. 143.A tanggal 29 Maret 2016","Provincial","Marine","Designated","2016-03-29",35698.73,35698.73,"Unknown","","","South East Sulwesi","","",,"EKKP3K","Unrated","MMAF","","Yes","Category 1","False","","","False"
"Indonesia","1015932","Muna Marine Protected Area","122.76535034","-4.73638712","Province Marine Protected Area","KEPBUP Muna No. 508 Tahun 2014","Provincial","Marine","Designated","2014-09-01",76417.16,76417.16,"No","","","South East Sulwesi ","Unknown","",,"EKKP3K","Unrated","MMAF","","Yes","Category 1","False","","","False"
"Indonesia","1015931","Botuberani Marine Protected Area","123.09854507","0.46636449","Province Marine Protected Area","KEPGUB GORONTALO Nomor 141/24/IV/2019","Provincial","Marine","Designated","2019-01-01",35.00,35.00,"Unknown","","","Gorontalo","","",,"EKKP3K","Unrated","MMAF","","Yes","Category 1","False","","","False"
"Indonesia","1015930","Sumalata Marine Protected Area","122.42340088","1.08977817","Province Marine Protected Area","KEPGUB GORONTALO Nomor 141/24/IV/2019","Provincial","Marine","Unknown","2019-01-01",14307.93,14307.93,"No","","","Gorontalo","Unknown","",,"EKKP3K","Unrated","MMAF","","Yes","Category 1","False","","","False"
"Indonesia","1015929","Mabasar maruangi Marine Protected Area","123.10249329","0.45235739","Province Marine Protected Area","KEPGUB GORONTALO Nomor 141/24/IV/2019","Provincial","Marine","Designated","2019-01-01",1164.01,1164.01,"Unknown","Unknown","","Gorontalo","Unknown","",,"EKKP3K","Unrated","","","Yes","Category 1","False","","","False"
"Indonesia","1015928","Bilihu Timur Marine Protected Area","122.94662476","0.46801244","Province Marine Protected Area","KEPGUB GORONTALO Nomor 141/24/IV/2019","Provincial","Marine","Designated","2019-01-01",107.75,107.75,"Unknown","Unknown","","Gorontalo","Unknown","Part",,"EKKP3K","Unrated","MMAF","","Yes","Category 1","False","","","False"
"Indonesia","1015927","Dulangka Marine Conservation","121.43909454","0.40676540","Province Marine Protected Area","KEPGUB GORONTALO Nomor 141/24/IV/2019","Provincial","Marine","Designated","2019-01-01",3418.52,0.00,"No","","","Gorontalo","Yes","",,"EKKP3K","Strengthened","","","Yes","Category 1","False","","","False"
"Indonesia","1015926","Tanjung Panjang Marine Conservation Area","121.73675537","0.45263214","Province Marine Protected Area","KEPGUB GORONTALO Nomor 141/24/IV/2019","Provincial","Marine","Designated","2019-01-01",2952.47,0.00,"Unknown","","","Gorontalo","Yes","",,"EKKP3K","Strengthened","","","Yes","Category 1","False","","","False"
"Indonesia","1015925","Maruagi Mabasar Marine Protected Area","121.62277222","0.50097025","Province Marine Protected Area","KEPGUB GORONTALO Nomor 141/24/IV/2019","Provincial","Marine","Designated","2019-01-01",6866.17,0.00,"No","","","Gorontalo","Yes","",,"EKKP3K","Established","","","Yes","Category 1","False","","","False"
"Indonesia","1015924","Tolinggula","122.70835876","0.92473405","Province Marine Protected Area","KEPGUB GORONTALO Nomor 141/24/IV/2019","Provincial","Marine","Designated","2019-11-11",2097.00,0.00,"No","","","Gorontalo","No","",,"EKKP3K","Unknown","","","Yes","Category 1","False","","","False"
"Indonesia","1015923","Pulau Mohinggito Marine Protected Area","122.82440186","0.92500878","Province Marine Protected Area","KEPGUB GORONTALO Nomor 141/24/IV/2019","Provincial","Marine","Designated","2019-11-12",469.11,0.00,"No","","","Gorontalo","No","",,"EKKP3K","Unknown","","","Yes","Category 1","False","","","False"
"Indonesia","1015922","Tatoareng Marine Protected Area","125.41442871","3.76998207","Province Marine Protected Area","KEPGUB SULUT Nomor 170 tanggal 12 April 2017  ","Provincial","Marine","Designated","2017-04-12",167398.00,0.00,"Yes","","","Sulawesi Utara","Yes","",,"EKKP3K","Strengthened","","","Yes","Category 2","False","","","False"
"Indonesia","1015920","Minahasa Marine Conservation","124.30480957","1.20181643","Province Marine Protected Area","KEPBUP Minahasa Nomor 762 Tahun 2013 tanggal 5 Desember 2013","Provincial","Marine","Designated","2013-12-05",0.00,0.00,"No","","","","","",,"","","","","Yes","Category 1","False","","","False"
"Indonesia","1015919","Kepulauan Sitaro Marine Conservation Area","125.32379150","2.12207340","Province Marine Protected Area","KEPGUB SULUT Nomor 407 Tahun 2018 tanggal 15 Oktober 2018","Provincial","Marine","Designated","2018-10-15",44110.11,0.00,"No","","","Sulawesi Utara","No","",,"EKKP3K","Unknown","","","Yes","Category 1","False","","","False"
"Indonesia","1015918","Senggora Marine Conservation Area","115.86456299","-3.97166886","Province Marine Protected Area","KEPMENKP No.24/KEPMEN-KP/2019","Provincial","Marine","Designated","2019-01-01",61362.24,0.00,"Yes","","","Kalimantan Tengah","Yes","",,"EKKP3K","Strengthened","","","Yes","Category 2","False","","","False"
"Indonesia","1015917","Kendawangan Ketapang Marine Protected Area","110.06652832","-2.91670792","Province Marine Protected Area","KEPGUB KALBAR Nomor 193/DKP/2017 tanggal 21 Februari 2017 ","Provincial","Marine","Designated","2017-02-21",188458.29,0.00,"No","","","Kalimantan Barat","No","",,"EKKP3K","Unknown","","","Yes","Category 1","False","","","False"
"Indonesia","1015916","Kubu Raya Marine Protected Area","108.97338867","-0.29882623","Province Marine Protected Area","KEPGUB KALBAR Nomor 193/DKP/2017 tanggal 21 Februari 2017 ","Provincial","Marine","Designated","2017-02-21",301845.94,0.00,"No","","","Kalimantan Barat","","",,"EKKP3K","Unknown","","","Yes","Category 1","False","","","False"
"Indonesia","1015915","Sambas Marine Protected Area","109.37438965","2.02545718","Province Marine Protected Area","KEPGUB KALBAR Nomor 193/DKP/2017 tanggal 21 Februari 2017 ","Provincial","Marine","Designated","2017-02-21",105252.79,0.00,"No","","","Kalimantan Barat","No","",,"EKKP3K","Institutionalized","","","Yes","Category 1","False","","","False"
"Indonesia","1015914","Pulau Lipan and Pulau Rakit Marine Reserve","117.78442383","-8.55060210","Province Marine Protected Area","SK NTB Nomor 523 - 640 Tahun 2018","Provincial","Marine","Designated","2018-08-03",26640.76,0.00,"Yes","","","Nusa Tenggara Barat","Yes","",,"EKKP3K","Strengthened","","","Yes","Category 2","False","","","True"
"Indonesia","1015912","Teluk Bumbang Marine Conservation","116.40495300","-8.93879747","Province Marine Protected Area","KEPGUB NTB Nomor 523 - 640 Tahun 2018 tanggal 3 Agustus 2018","Provincial","Marine","Designated","2018-08-03",6310.00,6310.00,"Yes","","","Nusa Tenggara Barat","Yes","",,"EKKP3K","","","","Yes","Category 2","False","","","False"
"Indonesia","1015911","Karangasem Bali Marine Conservation","115.57067871","-8.48975792","Province Marine Protected Area","KEPGUB BALI 375/03-L/HK/2017 tanggal 19 Januari 2017 ","Provincial","Marine","Designated","2017-01-19",5856.31,5856.31,"Drafted","","","Bali","Yes","",,"EKKP3K","Strengthened","","","Yes","Category 1","False","","","False"
"Indonesia","1015910","Banyuwangi Marine Conservation Park","114.39926147","-8.14515521","Province Marine Protected Area","KEPGUB JATIM Nomor 188/569/KPTS/013/2018 tanggal 10 Oktober 2018","Provincial","Marine","Designated","2018-10-10",111.10,111.10,"Yes","","","Jawa Timur","Yes","",,"EKKP3K","Strengthened","","","Yes","Category 2","False","","","False"
"Indonesia","1015909","Tulungagung Marine Conservation","112.99163818","-8.42129652","Province Marine Protected Area","KEPGUB JATIM Nomor 188/569/KPTS/013/2018 tanggal 10 Oktober 2018","Provincial","Marine","Designated","2018-10-10",217.00,217.00,"Yes","","","Jawa Timur","","",,"EKKP3K","Strengthened","","","Yes","Category 1","False","","","False"
"Indonesia","1015908","Gili Ketapang Marine Small Island Conservation ","113.25187683","-7.67778502","Province Marine Protected Area","KEPGUB JATIM Nomor 188/569/KPTS/013/2018 tanggal 10 Oktober 2018","Provincial","Marine","Designated","2018-10-10",347.07,347.07,"Yes","","","","Yes","",,"EKKP3K","Strengthened","","","Yes","Category 2","False","","","False"
"Indonesia","1015907","HMAS Perth Maritime Conservation Area","106.22268677","-5.89909600","Province  Maritime Conservation Area","KEPMENKP No. 21/KEPMEN-KP/2018","Provincial","Marine","Designated","2020-02-13",99.94,99.94,"Drafted","","","Banten","Yes","",,"EKKP3K","Established","","","Yes","Category 1","False","","","False"
"Indonesia","1015906","Pulau Batang Segama Marine Conservation","106.29574500","-5.07979700","Provinve Marine Protected Area","KEPGUB LAMPUNG G/585/III.17.HK/2015","Provincial","Marine","Designated","2015-01-01",14569.30,0.00,"No","","","Lampung","","",,"EKKP3K","Unrated","","","Yes","Category 1","False","","","False"
"Indonesia","1015903","Tuing Marine Conservation Area","105.92468262","-1.47859535","Province Marine Conservation Area","KEPGUB Kep. Bangka Belitung Nomor 188.44/739/DKP/2018 tanggal 27 September 2018","Provincial","Marine","Designated","2018-09-27",9809.56,0.00,"Drafted","","","Kepulauan Bangka Belitung","","",,"EKKP3K","","","","Yes","Category 1","False","","","False"
"Indonesia","1015902","Kepulauan Aruah Marine Conservation","100.60359800","2.84888500","Province Marine Conservation Area","KEPGUB RIAU Kpts.863/XI/2017 tanggal 6 November 2017 ","Provincial","Marine","Designated","2017-11-06",23481.32,0.00,"Unknown","","","Riau","","",,"EKKP3K","","","","Yes","Category 1","False","","","False"
"Indonesia","1015901","Indragiri Hilir Marine Conservation ","103.87573242","0.16259797","Province Marine Conservation Area","KEPGUB RIAU Kpts.863/XI/2017 tanggal 6 November 2017 ","Provincial","Marine","Designated","2017-11-06",205595.64,0.00,"Unknown","","","Riau","","",,"EKKP3K","Established","","","Yes","Category 1","False","","","False"
"Timor-Leste","60003100","Kaitehu, Ulmera","125.43267200","-8.54674400","Sustainable Fisheries","Draft","Local","Marine","Draft","2019-01-01",2842.78,2842.78,"Unknown","Unknown","No","Liquica","Yes","None",0.00,"None","Unknown","CTC","Date established will be update","Yes","Category 1","False","","","False"
"Timor-Leste","60003000","Tanae, Ulmera","125.46286800","-8.56416800","Marine Tourism","Draft","Local","Marine","Draft","2019-01-01",144.88,144.88,"Unknown","Unknown","No","Liquica","Yes","None",0.00,"None","Unknown","CTC","Date established will be update","Yes","Category 1","False","","","False"
"Timor-Leste","60002900","Kamaliana, Ulmera","125.44967100","-8.56510800","Marine Culture","Draft","Local","Marine","Draft","2019-01-01",148.06,148.06,"Unknown","Unknown","No","Liquica","Yes","None",0.00,"None","Unknown","CTC","Date established will be update","Yes","Category 1","False","","","False"
"Timor-Leste","60002800","Borhulu, Ulmera","125.42192700","-8.55925500","Marine Tourism","Draft","Local","Marine","Draft","2019-01-01",65.48,65.48,"Unknown","Unknown","No","Liquica","Yes","None",0.00,"None","Unknown","CTC","Date established will be update","Yes","Category 1","False","","","False"
"Timor-Leste","60002700","Komluli, Ulmera","125.43992500","-8.56341600","Marine Tourism","Draft","Local","Marine","Draft","2019-01-01",52.80,52.80,"Unknown","Unknown","No","Liquica","Yes","None",0.00,"None","Unknown","CTC","Date established well be update","Yes","Category 1","False","","","False"
"Timor-Leste","60002600","Fatuligar, Ulmera","125.42789400","-8.55635700","MPA No Take zone","Draft","Local","Marine","Draft","2019-01-01",511.50,511.50,"Unknown","Unknown","No","Liquica","Yes","All",511.50,"None","Unknown","MAF & CTC","Date established will be update","Yes","Category 1","False","","","False"
"Timor-Leste","6002500","Hariuluk, Ulmera","125.39910500","-8.56011000","Marine Tourism","Draft","Local","Marine","Draft","2019-01-01",212.06,212.06,"Unknown","Unknown","No","Liquica","Yes","None",0.00,"None","Unknown","MAF & CTC","Date established will be update","Yes","Category 1","False","","","False"
"Timor-Leste","6002400","Atauro","125.52716200","-8.20193300","Sustainable Fisheries","Draft","Local","Marine","Draft","2019-01-01",12829.15,12829.15,"Unknown","Unknown","No","Dili","Yes","None",0.00,"None","Unknown","CTC","Date established will be update","Yes","Category 1","False","","","False"
"Timor-Leste","6002300","Sausuak Nameta, Berau","125.55292700","-8.30230000","MPA No Take zone","Draft","Local","Marine","Draft","2016-01-01",74.11,74.11,"Unknown","Unknown","No","Dili","Yes","All",74.11,"None","Unknown","CI & CTC","Date established will be update","Yes","Category 1","False","","","False"
"Timor-Leste","6002200","Rai Keta","125.61041100","-8.23811800","MPA No Take zone","Draft","Local","Marine","Draft","2017-01-01",57.28,57.28,"Unknown","Unknown","No","Dili","Yes","All",57.28,"None","Unknown","CI & CTC","Date established will be update","Yes","Category 1","False","","","False"
"Timor-Leste","6002100","Usu Bemasu 3 (Darurala)","125.61023400","-8.23226400","Temporary Reserve Zone","Draft","Local","Marine","Draft","2017-01-01",20.70,20.70,"Unknown","Unknown","No","Dili","Yes","All",20.70,"None","Unknown","CI & CTC","Date established will be update","Yes","Category 1","False","","","False"
"Timor-Leste","6002000","Usu Bemasu 2 (Haruina)","125.61627500","-8.22261400","Marine Tourism","Draft","Local","Marine","Draft","2017-01-01",28.24,28.24,"Unknown","Unknown","No","Dili","Yes","All",28.24,"None","Unknown","CI & CTC","Date established will be update","Yes","Category 1","False","","","False"
"Timor-Leste","6001900","Usu Bemasu 1 (Uhurala)","125.61586500","-8.21597600","Temporary Reserve Zone","Draft","Local","Marine","Draft","2017-01-01",49.73,49.73,"Unknown","Unknown","No","Dili","Yes","All",49.73,"None","Unknown","CI & CTC","Date established will be update","Yes","Category 1","False","","","False"
"Timor-Leste","6001800","Uaro-Ana","125.64342300","-8.15413000","MPA No Take zone","Draft","Local","Marine","Draft","2017-01-01",58.06,58.06,"Unknown","Unknown","No","Dili","Yes","All",58.06,"None","Unknown","CI & CTC","Date established will be update","Yes","Category 1","False","","","False"
"Timor-Leste","6001700","Akrema","125.63997600","-8.13410000","MPA No Take zone","Draft","Local","Marine","Draft","2017-01-01",27.64,27.64,"Unknown","Unknown","No","Dili","Yes","All",27.64,"None","Unknown","CI & CTC","Date established will be update","Yes","Category 1","False","","","False"
"Timor-Leste","6001600","Fatu'u","125.60916100","-8.14634300","MPA No Take zone","Draft","Local","Marine","Draft","2018-01-01",9.27,9.27,"Unknown","Unknown","No","Dili","Yes","All",9.27,"None","Unknown","CI & CTC","Date established will be update","Yes","Category 1","False","","","False"
"Timor-Leste","6001500","Iliana","125.59605200","-8.15957700","MPA No Take zone","Draft","Local","Marine","Unknown","2018-01-01",5.79,5.79,"Unknown","Unknown","No","Dili","Yes","All",5.79,"None","Unknown","CI & CTC","Date established will be update","Yes","Category 1","False","","","False"
"Timor-Leste","6001400","Doro","125.59249500","-8.16093800","MPA No Take zone","Draft","Local","Marine","Draft","2018-01-01",7.31,7.31,"No","Unknown","No","Dili","Yes","All",7.31,"None","Unknown","CI & CTC","Date established will be update","Yes","Category 1","False","","","False"
"Timor-Leste","6001300","Adara","125.56348700","-8.19733500","MPA No Take zone","Draft","Local","Marine","Draft","2017-01-01",9.07,9.07,"No","Unknown","No","Dili","Yes","All",9.07,"None","Unknown","CI & CTC","Date established will be update","Yes","Category 1","False","","","False"
"Timor-Leste","6001200","Atekru","125.54771200","-8.22076700","MPA No Take zone","Draft","Local","Marine","Draft","2018-01-01",3.71,3.71,"No","Unknown","No","Dili","Yes","All",3.71,"None","Unknown","CI & CTC","Date established will be update","Yes","Category 1","False","","","False"
"Timor-Leste","6001100","Maquer","125.51676800","-8.24823400","MPA No Take zone","Draft","Local","Marine","Draft","2018-01-01",5.75,5.75,"No","Unknown","No","Dili","Yes","All",5.75,"None","Unknown","CI & CTC","Date established will be update","Yes","Category 1","False","","","False"
"Timor-Leste","6001000","Com","127.04458800","-8.34326900","MPA Dugong and Seagrass","Draft","Local","Marine","Draft","2018-09-01",345.60,345.60,"No","Unknown","No","Lautem","Yes","None",0.00,"None","Unknown","CI","Date established will be update","Yes","Category 1","False","","","False"
"Timor-Leste","6000900","Kusu-Com","127.07591700","-8.36203700","MPA No Take & Buffer zone","Draft","Local","Marine","Draft","2013-08-01",227.00,227.00,"No","Unknown","No","Lautem","Yes","All",95.00,"Co-Management","Unknown","CTSP & CI","","Yes","Category 1","False","","","False"
"Timor-Leste","6000800","Djonu","127.26731600","-8.38367800","MPA No Take & Buffer zone","","Local","Marine","Draft","2013-08-01",411.00,411.00,"No","Unknown","No","Lautem","Yes","All",180.00,"Co-Management","Unknown","CTSP & CI","","Yes","Category 1","False","","","False"
"Timor-Leste","6000700","Pereveno","127.30992000","-8.43811600","MPA No Take & Buffer zone","Draft","Local","Marine","Draft","2013-08-01",233.00,233.00,"No","Unknown","No","Lautem","Yes","All",94.00,"Co-Management","Unknown","CTSP & CI","","Yes","Category 1","False","","","False"
"Timor-Leste","6000600","Helapuna","127.29015400","-8.43844500","MPA No Take & Buffer zone","Draft","Local","Marine","Draft","2013-08-01",304.00,304.00,"No","Unknown","No","Lautem","Yes","All",116.00,"Co-Management","Unknown","CTSP & CI","","Yes","Category 1","False","","","False"
"Timor-Leste","6000500","Souco-Tahimoko","126.99673300","-8.68592200","MPA No Take & Buffer zone","Draff","Local","Marine","Draft","2013-08-01",453.00,453.00,"Unknown","Unknown","No","Lautem","Yes","All",133.00,"No","Unknown","CTSP & CI","","Yes","Category 1","False","","","False"
"Indonesia","1000195","Aceh Tamiang","98.29010000","4.22100000","Local","Governor Decree of Aceh Number 523/1297/2018 tanggal 26 November 2018","Provincial","Marine","Designated","2018-11-26",2797.21,2797.21,"Drafted","","CBD, Aichi Target, SDG 14","DI Aceh","","",,"EKKP3K","Established","Ministry Marine affairs and Fisheries","","Yes","Category 1","False","idnmpa","","False"
"Indonesia","1000194","Aceh Selatan","96.98480000","2.21010000","Local","Governor Decree of Aceh Number 523/1297/2018 tanggal 26 November 2018","Provincial","Marine","Designated","2018-11-26",3590.34,3590.34,"Drafted","","CBD, Aichi Target, SDG 14","DIY Aceh","","",,"EKKP3K","Established","Ministry Marine affairs and Fisheries","","Yes","Category 1","False","idnmpa","","False"
"Indonesia","1000193","Aceh Barat Daya","96.72520000","3.67710000","Local","Governor Decree of Aceh Number 523/1297/2018 dates 26 November 2018","Provincial","Marine","Designated","2018-11-26",16017.34,16017.34,"Drafted","","CBD, Aichi Target, SDG 14","DIY Aceh","No","Unknown",,"EKKP3K","Established","Ministry Marine affairs and Fisheries","","Yes","Category 1","False","","","False"
"Indonesia","1000192","Rupat Utara","101.50440000","2.08450000","Local ","Governor decree Kpts.565/II/2019 tanggal 15 Februari 2019","Provincial","Marine","Designated","2019-02-15",15547.00,15547.00,"No","","CBD, Aichi Target, SDG 14","Riau","No","",,"EKKP3K","Established","Ministry Marine affairs and Fisheries","","Yes","Category 1","False","idnmpa","","False"
"Timor-Leste","6000400","Vinano","126.95817950","-8.68762929","A","Draft","Local","Marine","Draft","2013-08-01",494.00,494.00,"Unknown","","No","Lautem","Yes","All",177.00,"Co-Management","Unknown","","","Yes","Category 1","False","","","False"
"Timor-Leste","6000300","Batugade","124.95500000","-8.95100000","MPA","http://www.mj.gov.tl/jornal/public/docs/2015/serie_1/SERIE_I_NO_8.pdf","National","Marine","Designated","2015-01-15",113.00,113.00,"No ","","No","Bobonaro","","",113.00,"None","","ALGIS","","Point only","Category 1","True","Yes","","False"
"Timor-Leste","6000200","MPA Vila-Atauro","125.61000000","-8.26400000","MPA","http://www.mj.gov.tl/jornal/public/docs/2015/serie_1/SERIE_I_NO_8.pdf","National","Marine","Designated","2015-01-14",65.41,65.41,"Yes","Unknown","No","Dili","Yes","All",65.41,"None","Unknown","MAF, CI & CTC","","Yes","Category 1","False","","","False"
"Timor-Leste","6000100","Nino Konis Santana National Park","127.15962400","-8.44577500","National Park","Government resolution 8/2007","National","Marine-Terrestrial","Designated","2007-08-03",123600.00,56000.00,"Drafted","V","No","Lautem","","Unknown",1270.00,"Unknown","Unrated","ALGIS","","Yes","Category 3","False","","","True"
"Solomon Islands","5045100","Kota - Hauporo","161.04750712","-9.20711227","Conservation Area","None","Local","terrestrial","Voluntary","2015-08-01",0.00,0.00,"No","Unknown","None","Malaita","No","None",0.00,"None","Unknown","Felix Naitoro - Managed Areas Workshop - Oct 2015","Boundary is approximate.  Needs confirmation","Yes","Category 1","False","","","True"
"Solomon Islands","5044800","Kalaka","159.79493611","-9.15166949","LMMA","Unknown","Local","marine","Voluntary","2015-08-15",0.00,0.00,"Drafted","Unknown","None","Central","No","Seasonal",0.00,"None","Unknown","Jacob Piturara - Managed Areas Workshop - Oct 2015 - GPS Tracks","Boundary from GPS data","Yes","Category 1","True","Yes - Jacob Piturara - Oct 2015","","True"
"Solomon Islands","5044700","Siporae","156.80554362","-7.02234196","Resource Management Area","Environment Act 2010","Local","terrestrial","Proposed","2015-04-28",0.00,0.00,"Drafted","VI","CBD","Choiseul","Yes","Part",0.00,"None","Unknown","Gideon Bouro","Boundary sketch based on Google Earth file.  GE file was not available.","Point only","Category 1","False","","","True"
"Solomon Islands","5044600","Vatupura","160.28393472","-9.04396061","LMMA","Unknown","Local","marine","Voluntary","2015-02-01",0.00,0.00,"Drafted","Unknown","None","Central","No","All",0.00,"None","Unknown","Jacob Piturara - Managed Areas Workshop - Oct 2015 - GPS tracks","No take to be  for 5 years","Yes","Category 1","True","Yes - Jacob Piturara - Oct 2015","","True"
"Solomon Islands","5044500","Logapolo","160.34202757","-9.18386859","LMMA","Unknown","Local","terrestrial","Voluntary","2015-04-04",0.00,0.00,"Drafted","Unknown","None","Central","No","Seasonal",0.00,"None","Unknown","Jacob Piturara - Managed Areas Workshop - Oct 2015 - GPS tracks","Boundary from GPS coordinates","Yes","Category 1","True","Yes - Jacob Piturara - Oct 2015","","True"
"Solomon Islands","5044400","Batongo Tribal Lands","156.81138283","-7.09567563","Resource Management Area","FRTUA ammended Env Act 2010","Local","terrestrial","Voluntary","2015-04-28",0.00,0.00,"Drafted","VI","None","Choiseul","Yes","Part",0.00,"None","Unknown","Gideon Bouro","Sepa and Mboe community support conservaiton area","Point only","Category 1","False","","","False"
"Solomon Islands","5044300","Sikipoza","156.81715190","-6.99278909","Sustainable Forest Management","FRTUA Ammended Environment Act 2010","Local","terrestrial","Voluntary","2015-04-28",0.00,0.00,"Drafted","VI","None","Choiseul","Yes","Part",0.00,"None","Unknown","Gideon Bouro","","Point only","Category 1","False","","","False"
"Solomon Islands","5044100","Pirini","156.76642441","-7.03869656","Watershed Management Area","Unknown","Local","terrestrial","Designated","2014-11-15",0.00,0.00,"Drafted","VI","None","Choiseul","Yes","Part",0.00,"None","Unknown","Fred Tabepuda (SPREP), Myknee Sirikolo - Managed Areas Workshop - Oct 2015","Site is located in Sasamungga village.  Boundary unknown.","Point only","Category 1","False","","","False"
